function name,size,frame size,internal locations,jumps,detected loops,code xrefs,data xrefs,xrefs to high entropy area,bitwise operations,max consecutive movs,function entropy,target
aes128_enc_wb_final,4100544,224,10,10,4,1065330,89363,89360,154203,6,5.156,1
init_tigress,263,48,2,2,1,75,12,0,1,17,4.816,0
Ty_i$nit,10251,16,0,0,0,2053,1024,0,0,1025,5.44,1
main,391,176,9,10,4,106,8,0,1,9,5.09,0
Tboxes__i$nit,28683,16,0,0,0,8197,4096,0,0,4097,4.287,1
Tyboxes_i$nit,368651,16,0,0,0,73733,36864,1,0,36865,5.425,1
Tboxes_i$nit,409611,16,0,0,0,81925,40960,0,0,40961,5.396,1
megaInit,36,16,0,0,0,15,0,0,0,1,0.0,0
ShiftRows,283,40,1,1,0,82,2,0,0,4,4.153,0
Txor_i$nit,2571,16,0,0,0,517,256,1,0,257,5.022,1
Ty_i$nit,10251,16,0,0,0,2053,1024,0,0,1025,5.285,1
encodeStrings_litStr4_i$nit,11,16,0,0,0,5,0,0,0,1,0.0,0
_5_stringEncoder,2292,48,0,6,0,691,3,0,0,4,3.615,0
Tboxes__i$nit,28683,16,0,0,0,8197,4096,1,0,4097,4.294,1
encodeStrings_litStr1_i$nit,11,16,0,0,0,5,0,0,0,1,0.0,0
encodeStrings_litStr2_i$nit,11,16,0,0,0,5,0,0,0,1,0.0,0
megaInit,61,16,0,0,0,25,0,0,0,1,0.0,0
Tboxes_i$nit,286731,16,0,0,0,81925,40960,0,0,40961,4.289,1
Tyboxes_i$nit,368651,16,0,0,0,73733,36864,1,0,36865,5.256,1
MERGED,249,16732,2,2,1,54,1,0,2,6,0.0,0
sub_B3440,95,0,0,0,0,20,0,0,0,3,0.0,0
sub_B349F,80,0,1,1,0,16,0,0,0,5,0.0,0
sub_B34EF,96,0,1,1,0,19,0,0,0,4,0.0,0
sub_B354F,98,0,1,1,0,21,0,0,0,4,0.0,0
sub_B35B1,60,0,1,1,0,12,0,0,0,3,0.0,0
sub_B35ED,204,0,11,11,0,54,0,0,1,3,0.0,0
sub_B36B9,58,0,1,1,0,12,0,0,0,8,0.0,0
sub_B36F3,120,0,3,3,0,26,0,0,1,3,0.0,0
sub_B376B,57,0,1,1,0,11,0,0,0,7,0.0,0
sub_B37A4,58,0,1,1,0,12,0,0,0,8,0.0,0
sub_B3B3C,289,0,1,9,0,77,10,3,0,3,4.601,1
sub_B3E7D,377,0,1,8,0,96,3,0,0,5,4.479,0
main,2763,176,17,18,4,860,134,0,95,8,4.997,0
encodeStrings_litStr3_i$nit,11,16,0,0,0,5,0,0,0,1,0.0,0
encodeStrings_litStr0_i$nit,11,16,0,0,0,5,0,0,0,1,0.0,0
Txor_i$nit,1803,16,0,0,0,517,256,1,0,257,4.021,1
emit_sse_fldx_op,6446,784,74,75,0,1375,0,0,87,9,4.266,0
associate_register_alias,176,48,2,4,0,54,3,0,0,5,0.0,0
jit_init_arg_params,663,96,9,10,0,202,0,0,2,7,4.688,0
print_load_op,838,368,13,14,0,204,1,0,2,6,4.545,0
join_addi_addr,298,32,6,8,0,85,0,0,1,8,4.503,0
emit_push_reg,1985,288,20,21,0,442,0,0,17,9,4.123,0
jit_disasm_compilable_i$nit,207,16,0,0,0,61,28,0,0,1,0.0,0
emit_shift_op,4223,544,67,67,0,942,0,0,68,9,4.412,0
ShiftRows,259,40,0,0,0,74,0,0,0,3,4.031,0
emit_fppush_arg,4855,656,33,34,0,1032,0,0,19,11,4.118,0
Tboxes_i$nit,286731,16,0,0,0,81925,40960,0,0,40961,4.297,1
append_msg,316,257,2,3,0,68,0,0,2,6,4.65,0
assign_jmp,418,96,10,11,2,125,0,0,1,6,4.718,0
jit_get_reg_name,400,48,8,16,0,133,1,0,7,7,4.857,0
emit_sub_op,5029,592,66,67,0,1108,0,0,69,12,4.348,0
sse_alu_pd_reg_safeimm,4732,640,53,53,0,996,0,0,30,11,4.217,0
print_str,368,80,12,12,1,117,4,0,1,4,5.225,0
megaInit,81,16,0,0,0,33,0,0,0,1,0.0,0
emit_sse_fstx_op,7520,896,89,90,0,1605,0,0,103,9,4.313,0
is_cond_branch_op,348,40,32,32,0,92,0,0,1,3,3.927,0
emit_alu_op,3126,384,45,46,0,699,0,0,50,10,4.411,0
emit_memset,8505,992,123,124,1,1853,5,0,93,11,4.33,0
emit_pop_reg,1969,288,20,21,0,438,0,0,17,9,4.111,0
emit_cond_op,4567,608,48,49,0,977,4,0,34,12,4.233,0
node_insert,281,80,8,9,0,89,0,0,0,6,4.637,0
jit_patch_external_calls,15,24,0,0,0,6,0,0,0,2,0.0,0
branch_adjustment,1240,96,51,52,0,359,0,0,32,12,4.358,0
is_transfer_op,132,40,10,10,0,37,0,0,1,3,0.0,0
node_new,102,48,0,0,0,25,0,0,0,16,0.0,0
emit_push_arg,1751,272,14,15,0,388,0,0,7,12,4.033,0
generic_pop_caller_saved_regs,355,116,11,12,1,113,0,0,2,8,4.892,0
uses_hw_reg,264,52,16,16,1,93,0,0,7,5,5.198,0
emit_get_arg,3971,480,82,84,0,898,9,0,54,12,4.518,0
emit_sse_alu_op,1766,244,24,24,0,397,0,0,24,11,4.176,0
assign_regs_for_args,288,64,6,6,1,90,0,0,2,8,4.864,0
check_missing_patches,178,48,9,10,0,63,1,0,6,3,0.0,0
emit_ld_op,8781,928,166,167,0,1988,27,0,101,9,4.452,0
emit_trace_op,4812,672,33,34,0,1013,0,0,22,12,4.105,0
print_arg,389,336,4,5,0,102,0,0,4,7,4.774,0
emit_sse_fld_op,3489,480,36,37,0,742,0,0,41,9,4.077,0
check_data_alignment,303,48,11,16,1,93,1,0,5,4,4.608,0
emit_msg_op,2422,368,20,21,0,520,0,0,12,12,4.141,0
emit_restore_all_regs,2080,304,23,24,2,473,0,0,13,9,4.297,0
print_combined_op,912,64,25,28,2,270,13,0,7,5,4.897,0
emit_ldx_op,14269,1440,249,250,0,3160,27,0,196,9,4.424,0
ob_printf,377,8465,1,2,0,78,0,0,4,7,4.614,0
rmap_sync_aux,405,96,15,16,0,133,3,0,0,8,4.994,0
Tboxes__i$nit,28683,16,0,0,0,8197,4096,1,0,4097,4.285,1
assign_regs,896,64,45,47,1,277,0,0,7,10,4.611,0
emit_sse_neg_op,368,112,6,6,0,108,0,0,6,9,4.46,0
_cipher$_xtea_decipher,84,64,2,2,1,28,0,0,0,6,0.0,0
emit_rsb_op,5304,624,69,70,0,1171,0,0,73,9,4.368,0
force_assoc,186,48,2,2,0,55,0,0,1,10,0.0,0
jit_collect_statistics,855,176,22,23,4,221,0,0,7,12,4.85,0
jit_flw_initialize,420,64,10,10,2,136,0,0,7,6,4.928,0
jit_reg_allocator_create,3158,848,2,2,1,596,23,0,0,21,4.402,0
jit_trace,272,64,10,10,1,83,0,0,5,11,4.824,0
emit_ureg,1438,240,16,17,0,328,0,0,14,9,4.146,0
aes128_enc_wb_final,498869,28192,7,8,2,126533,9386,2,13,1952,4.354,1
jit_buf_expand,118,48,0,0,0,36,0,0,0,9,0.0,0
emit_branch_op,2324,336,25,26,0,511,2,0,17,12,4.235,0
